date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:11	332/332	---M--	200	added ('OK')	image/png	etag:%220x8DBD0C2886B11EA%22	https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/dm.png	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/dm.png	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
22:46:12	2681/2681	---M--	200	added ('OK')	image/png	etag:%220x8DBD0C2886BFB2E%22	https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/cs.png	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/cs.png	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
22:46:13	14751/14751	---M--	200	added ('OK')	image/gif	etag:%220x8DBD0C28906073A%22	https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/re.gif	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/re.gif	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
22:46:15	2055/2055	---M--	200	added ('OK')	text/javascript	etag:%220x8DBD0C288F96B39%22	https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/nvidia.js	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/nvidia.js	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
22:46:16	503/503	---M--	200	added ('OK')	text/javascript	etag:%220x8DBD0C288B90136%22	https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/jupiter.js	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/jupiter.js	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
22:46:17	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Thu,%2019%20Oct%202023%2017:16:16%20GMT	https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/w3.png	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/w3.12.delayed	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
22:46:18	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Thu,%2019%20Oct%202023%2017:16:17%20GMT	https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/w1.png	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/w1.13.delayed	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
22:46:19	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Thu,%2019%20Oct%202023%2017:16:18%20GMT	https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.14.delayed	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/tapa.css)
22:46:20	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Thu,%2019%20Oct%202023%2017:16:19%20GMT	https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.15d41d.delayed	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/tapa.css)
22:46:21	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Thu,%2019%20Oct%202023%2017:16:21%20GMT	https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.16.delayed	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/tapa.css)
22:46:23	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Thu,%2019%20Oct%202023%2017:16:22%20GMT	https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.17.delayed	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/tapa.css)
22:46:24	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Thu,%2019%20Oct%202023%2017:16:22%20GMT	https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.18.delayed	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/tapa.css)
22:46:25	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Thu,%2019%20Oct%202023%2017:16:23%20GMT	https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.19.delayed	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/tapa.css)
22:46:25	78601/78601	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-13309%22	https://code.jquery.com/jquery-1.4.4.min.js	C:/My%20Web%20Sites/https___internetsecuritynotice90.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/code.jquery.com/jquery-1.4.4.min.js	(from https://internetsecuritynotice90.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
